Num,Sat,ValX,ValY,,
1,6,0,0,,
1,6,255,17.1,,MOP3
2,6,0,0,,MET-6
2,6,255,17.17,,
3,6,0,-0.7,,
3,6,255,0.067,,
7,6,0,0,,
7,6,255,1030,,
8,6,0,8.7,,
8,6,3,14.5,,
8,6,52,111.3,,
8,6,102,211.3,,
8,6,153,313.8,,
8,6,174,354.9,,
8,6,255,510,,
10,6,0,0,,
10,6,255,1030,,
15,6,0,160,,
15,6,23,140,,
15,6,34,125,,
15,6,50,109.5,,
15,6,68,97,,
15,6,85,88,,
15,6,204,40,,
15,6,230,24,,
15,6,247,10,,
15,6,255,0,,
19,6,33,99.99,,
19,6,35,95,,
19,6,37,90,,
19,6,43,85,,
19,6,48,80,,
19,6,55,75,,
19,6,154,40,,
19,6,171,35,,
19,6,177,30,,
19,6,181,25,,
21,6,22,70,,
21,6,31,60,,
21,6,41,50,,
21,6,57,40,,
21,6,82,30,,
21,6,109,20,,
21,6,140,10,,
21,6,165,0,,
21,6,200,-10,,
21,6,255,-40,,
27,6,5,150,,
27,6,12,115,,
27,6,21,95,,
27,6,34,80,,
27,6,54,65,,
27,6,85,50,,
27,6,178,20,,
27,6,213,5,,
27,6,235,-10,,
27,6,255,-30,,
28,6,0,-0.2853,,
28,6,83,-0.1,,
28,6,128,0,,
28,6,173,0.1,,
28,6,255,0.2795,,
29,6,0,-0.2851,,
29,6,83,-0.1,,
29,6,128,0,,
29,6,173,0.1,,
29,6,255,0.2792,,
30,6,0,0,,
30,6,255,255,,
31,6,0,0,,
31,6,255,6.74,,
32,6,47,74,,
32,6,150,399,,
32,6,255,710,,
41,6,86,-140,,
41,6,101,-120,,
41,6,116,-100,,
41,6,145,-60,,
41,6,171,-20,,
41,6,184,0,,
41,6,196,20,,
41,6,220,60,,
41,6,243,100,,
41,6,255,121,,
47,6,21,75,,
47,6,36,60,,
47,6,46,50,,
47,6,98,25,,
47,6,174,0,,
47,6,225,-20,,
47,6,250,-33,,
48,6,8,163,,
48,6,16,143,,
48,6,35,113,,
48,6,61,93,,
48,6,100,73,,
48,6,151,43,,
48,6,198,33,,
48,6,229,13,,
48,6,245,-7,,
48,6,251,-27,,
60,6,0,0,,
60,6,255,6.194,,
61,6,0,0,,
61,6,221,15,,
61,6,255,17.22,,
62,6,35,0,,
62,6,44,0.11,,
62,6,166,0.703,,
62,6,255,1.1,,
63,6,34,59.82,,
63,6,47,50,,
63,6,55,45,,
63,6,63,40,,
63,6,98,25,,
63,6,127,15,,
63,6,174,0,,
63,6,214,-15,,
63,6,240,-30,,
63,6,247,-35.17,,
66,6,3,0,,
66,6,72,1000,,
66,6,145,2000,,
66,6,194,2750,,
66,6,255,3609,,
67,6,3,0,,
67,6,71,1000,,
67,6,141,2000,,
67,6,212,3000,,
67,6,255,3603,,
68,6,3,0,,
68,6,97,1000,,
68,6,144,2000,,
68,6,199,2750,,
68,6,255,3510,,
69,6,3,0,,
69,6,22,100,,
69,6,72,300,,
69,6,120,500,,
69,6,167,700,,
69,6,205,850,,
69,6,255,1057,,
78,6,0,0,,
78,6,255,6.211,,
79,6,0,0,,
79,6,255,6.212,,
80,6,0,0,,
80,6,255,33.2,,
81,6,0,0,,
81,6,255,14.86,,
82,6,0,0,,
82,6,255,10.25,,
83,6,0,0,,
83,6,250,5.86,,
83,6,255,5.98,,
84,6,0,0,,
84,6,255,26.97,,
85,6,0,0,,
85,6,255,6.202,,
86,6,0,0,,
86,6,255,6.211,,
87,6,31,63.43,,
87,6,40,55.26,,
87,6,46,50.91,,
87,6,55,45.22,,
87,6,64,40.12,,
87,6,76,34.54,,
87,6,87,29.69,,
87,6,175,0.58,,
87,6,216,-14.89,,
87,6,244,-30.53,,
88,6,0,0,,
88,6,255,24.01,,
89,6,81,34,,
89,6,93,28,,
89,6,102,24,,
89,6,113,20,,
89,6,131,14,,
89,6,149,9,,
89,6,168,4,,
89,6,189,-1,,
89,6,210,-6,,
89,6,232,-11,,
90,6,0,0,,
90,6,3,0,,
90,6,12,0.067,,
90,6,13,0.073,,
90,6,78,0.471,,
90,6,116,0.707,,
90,6,255,1.561,,
91,6,0,0,,
91,6,3,0,,
91,6,5,0.17,,
91,6,255,15.79,,
92,6,102,-120,,
92,6,117,-100,,
92,6,145,-60,,
92,6,172,-20,,
92,6,185,0,,
92,6,198,20,,
92,6,222,60,,
92,6,245,100,,
92,6,255,120,,
93,6,83,34.5,,
93,6,95,28.5,,
93,6,104,24.5,,
93,6,115,20.5,,
93,6,133,14.5,,
93,6,151,9.5,,
93,6,170,4.5,,
93,6,191,-0.5,,
93,6,212,-5.5,,
93,6,234,-10.5,,
94,6,0,0,,
94,6,255,6.195,,
95,6,0,0,,
95,6,255,6.199,,
96,6,0,0,,
96,6,3,0,,
96,6,5,0.3,,
96,6,255,15.51,,
97,6,0,0,,
97,6,255,15.06,,
98,6,0,0,,
98,6,255,27.01,,
99,6,0,0,,
99,6,3,0,,
99,6,12,0.069,,
99,6,13,0.075,,
99,6,78,0.476,,
99,6,116,0.71,,
99,6,255,1.525,,
100,6,0,0,,
100,6,255,6.213,,
101,6,0,0,,
101,6,3,0,,
101,6,8,200,,
101,6,20,487,,
101,6,42,1008,,
101,6,83,1990,,
