Wavelength_(microns);Solar_Flux_(W/m^2/micron)
0.4025;1.80E+03
0.4035;1.66E+03
0.4045;1.60E+03
0.4055;1.67E+03
0.4065;1.62E+03
0.4075;1.55E+03
0.4085;1.82E+03
0.4095;1.71E+03
0.4105;1.50E+03
0.4115;1.82E+03
0.4125;1.79E+03
0.4135;1.76E+03
0.4145;1.74E+03
0.4155;1.74E+03
0.4165;1.84E+03
0.4175;1.67E+03
0.4185;1.69E+03
0.4195;1.70E+03
0.4205;1.76E+03
0.4215;1.80E+03
0.4225;1.58E+03
0.4235;1.71E+03
0.4245;1.77E+03
0.4255;1.70E+03
0.4265;1.70E+03
0.4275;1.57E+03
0.4285;1.59E+03
0.4295;1.48E+03
0.4305;1.14E+03
0.4315;1.69E+03
0.4325;1.65E+03
0.4335;1.73E+03
0.4345;1.67E+03
0.4355;1.73E+03
0.4365;1.93E+03
0.4375;1.81E+03
0.4385;1.57E+03
0.4395;1.83E+03
0.4405;1.72E+03
0.4415;1.93E+03
0.4425;1.98E+03
0.4435;1.91E+03
0.4445;1.98E+03
0.4455;1.82E+03
0.4465;1.89E+03
0.4475;2.08E+03
0.4485;1.98E+03
0.4495;2.03E+03
0.4505;2.15E+03
0.4515;2.11E+03
0.4525;1.94E+03
0.4535;1.97E+03
0.4545;1.98E+03
0.4555;2.04E+03
0.4565;2.08E+03
0.4575;2.10E+03
0.4585;1.97E+03
0.4595;2.01E+03
0.4605;2.04E+03
0.4615;2.06E+03
0.4625;2.11E+03
0.4635;2.04E+03
0.4645;1.98E+03
0.4655;2.04E+03
0.4665;1.92E+03
0.4675;2.02E+03
0.4685;2.00E+03
0.4695;1.99E+03
0.4705;1.88E+03
0.4715;2.02E+03
0.4725;2.04E+03
0.4735;1.99E+03
0.4745;2.05E+03
0.4755;2.02E+03
0.4765;1.96E+03
0.4775;2.08E+03
0.4785;2.01E+03
0.4795;2.08E+03
0.4805;2.04E+03
0.4815;2.09E+03
0.4825;2.03E+03
0.4835;2.02E+03
0.4845;1.97E+03
0.4855;1.83E+03
0.4865;1.63E+03
0.4875;1.83E+03
0.4885;1.92E+03
0.4895;1.96E+03
0.4905;2.01E+03
0.4915;1.90E+03
0.4925;1.90E+03
0.4935;1.89E+03
0.4945;2.06E+03
0.4955;1.93E+03
0.4965;2.02E+03
0.4975;2.02E+03
0.4985;1.87E+03
0.4995;1.97E+03
0.5005;1.86E+03
0.5015;1.81E+03
0.5025;1.90E+03
0.5035;1.94E+03
0.5045;1.87E+03
0.5055;2.00E+03
0.5065;1.96E+03
0.5075;1.91E+03
0.5085;1.92E+03
0.5095;1.92E+03
0.5105;1.95E+03
0.5115;2.00E+03
0.5125;1.87E+03
0.5135;1.86E+03
0.5145;1.88E+03
0.5155;1.90E+03
0.5165;1.67E+03
0.5175;1.73E+03
0.5185;1.66E+03
0.5195;1.83E+03
0.5205;1.83E+03
0.5215;1.91E+03
0.5225;1.83E+03
0.5235;1.90E+03
0.5245;1.96E+03
0.5255;1.93E+03
0.5265;1.68E+03
0.5275;1.83E+03
0.5285;1.90E+03
0.5295;1.92E+03
0.5305;1.95E+03
0.5315;1.97E+03
0.5325;1.77E+03
0.5335;1.93E+03
0.5345;1.86E+03
0.5355;1.99E+03
0.5365;1.87E+03
0.5375;1.88E+03
0.5385;1.91E+03
0.5395;1.83E+03
0.5405;1.77E+03
0.5415;1.88E+03
0.5425;1.83E+03
0.5435;1.88E+03
0.5445;1.88E+03
0.5455;1.90E+03
0.5465;1.88E+03
0.5475;1.84E+03
0.5485;1.87E+03
0.5495;1.90E+03
0.5505;1.86E+03
0.5515;1.87E+03
0.5525;1.85E+03
0.5535;1.88E+03
0.5545;1.90E+03
0.5555;1.90E+03
0.5565;1.82E+03
0.5575;1.85E+03
0.5585;1.79E+03
0.5595;1.81E+03
0.5605;1.85E+03
0.5615;1.83E+03
0.5625;1.85E+03
0.5635;1.86E+03
0.5645;1.86E+03
0.5655;1.80E+03
0.5665;1.83E+03
0.5675;1.89E+03
0.5685;1.81E+03
0.5695;1.86E+03
0.5705;1.77E+03
0.5715;1.83E+03
0.5725;1.89E+03
0.5735;1.88E+03
0.5745;1.87E+03
0.5755;1.83E+03
0.5765;1.85E+03
0.5775;1.86E+03
0.5785;1.79E+03
0.5795;1.83E+03
0.5805;1.84E+03
0.5815;1.86E+03
0.5825;1.88E+03
0.5835;1.86E+03
0.5845;1.86E+03
0.5855;1.79E+03
0.5865;1.83E+03
0.5875;1.85E+03
0.5885;1.75E+03
0.5895;1.61E+03
0.5905;1.82E+03
0.5915;1.79E+03
0.5925;1.81E+03
0.5935;1.80E+03
0.5945;1.78E+03
0.5955;1.79E+03
0.5965;1.81E+03
0.5975;1.78E+03
0.5985;1.76E+03
0.5995;1.78E+03
0.6005;1.75E+03
0.6015;1.75E+03
0.6025;1.72E+03
0.6035;1.79E+03
0.6045;1.78E+03
0.6055;1.77E+03
0.6065;1.76E+03
0.6075;1.76E+03
0.6085;1.75E+03
0.6095;1.75E+03
0.6105;1.71E+03
0.6115;1.75E+03
0.6125;1.71E+03
0.6135;1.69E+03
0.6145;1.72E+03
0.6155;1.72E+03
0.6165;1.61E+03
0.6175;1.71E+03
0.6185;1.73E+03
0.6195;1.71E+03
0.6205;1.74E+03
0.6215;1.69E+03
0.6225;1.72E+03
0.6235;1.67E+03
0.6245;1.66E+03
0.6255;1.63E+03
0.6265;1.70E+03
0.6275;1.70E+03
0.6285;1.70E+03
0.6295;1.68E+03
0.631;1.64E+03
0.633;1.65E+03
0.635;1.66E+03
0.637;1.66E+03
0.639;1.65E+03
0.641;1.62E+03
0.643;1.62E+03
0.645;1.63E+03
0.647;1.61E+03
0.649;1.56E+03
0.651;1.61E+03
0.653;1.60E+03
0.655;1.53E+03
0.657;1.39E+03
0.659;1.55E+03
0.661;1.57E+03
0.663;1.56E+03
0.665;1.56E+03
0.667;1.54E+03
0.669;1.55E+03
0.671;1.52E+03
0.673;1.52E+03
0.675;1.51E+03
0.677;1.51E+03
0.679;1.50E+03
0.681;1.49E+03
0.683;1.48E+03
0.685;1.46E+03
0.687;1.47E+03
0.689;1.46E+03
0.691;1.45E+03
0.693;1.45E+03
0.695;1.44E+03
0.697;1.42E+03
0.699;1.43E+03
0.701;1.39E+03
0.703;1.39E+03
0.705;1.42E+03
0.707;1.40E+03
0.709;1.39E+03
0.711;1.39E+03
0.713;1.38E+03
0.715;1.37E+03
0.717;1.36E+03
0.719;1.33E+03
0.721;1.33E+03
0.723;1.35E+03
0.725;1.35E+03
0.727;1.35E+03
0.729;1.32E+03
0.731;1.33E+03
0.733;1.32E+03
0.735;1.31E+03
0.737;1.31E+03
0.739;1.28E+03
0.741;1.26E+03
0.743;1.29E+03
0.745;1.28E+03
0.747;1.28E+03
0.749;1.27E+03
0.751;1.26E+03
0.753;1.26E+03
0.755;1.26E+03
0.757;1.25E+03
0.759;1.24E+03
0.761;1.24E+03
0.763;1.24E+03
0.765;1.22E+03
0.767;1.19E+03
0.769;1.20E+03
0.771;1.21E+03
0.773;1.21E+03
0.775;1.19E+03
0.777;1.20E+03
0.779;1.19E+03
0.781;1.19E+03
0.783;1.18E+03
0.785;1.18E+03
0.787;1.18E+03
0.789;1.18E+03
0.791;1.16E+03
0.793;1.14E+03
0.795;1.14E+03
0.797;1.15E+03
0.799;1.14E+03
0.801;1.14E+03
0.803;1.13E+03
0.805;1.12E+03
0.807;1.12E+03
0.809;1.10E+03
0.811;1.12E+03
0.813;1.12E+03
0.815;1.11E+03
0.817;1.11E+03
0.819;1.07E+03
0.821;1.08E+03
0.823;1.07E+03
0.825;1.08E+03
0.827;1.08E+03
0.829;1.07E+03
0.831;1.07E+03
0.833;1.03E+03
0.835;1.05E+03
0.837;1.05E+03
0.839;1.04E+03
0.841;1.05E+03
0.843;1.03E+03
0.845;1.03E+03
0.847;1.03E+03
0.849;9.71E+02
0.851;1.00E+03
0.853;9.73E+02
0.855;8.77E+02
0.857;1.01E+03
0.859;9.97E+02
0.861;9.97E+02
0.863;9.99E+02
0.865;9.70E+02
0.867;8.80E+02
0.869;9.67E+02
0.871;9.86E+02
0.873;9.78E+02
0.875;9.81E+02
0.877;9.84E+02
0.879;9.59E+02
0.881;9.61E+02
0.883;9.48E+02
0.885;9.63E+02
0.887;9.47E+02
0.889;9.49E+02
0.891;9.44E+02
0.893;9.34E+02
0.895;9.36E+02
0.897;9.39E+02
0.899;9.12E+02
