Wavelength_(microns);Solar_Flux_(W/m^2/micron)
4.015;8.51E+00
4.025;8.41E+00
4.035;8.33E+00
4.045;8.24E+00
4.055;8.16E+00
4.065;8.08E+00
4.075;8.00E+00
4.085;7.91E+00
4.095;7.84E+00
4.105;7.76E+00
4.115;7.68E+00
4.125;7.60E+00
4.135;7.54E+00
4.145;7.45E+00
4.155;7.38E+00
4.165;7.32E+00
4.175;7.24E+00
4.185;7.17E+00
4.195;7.09E+00
4.205;7.03E+00
4.215;6.95E+00
4.225;6.89E+00
4.235;6.83E+00
4.245;6.76E+00
4.255;6.70E+00
4.265;6.62E+00
4.275;6.57E+00
4.285;6.51E+00
4.295;6.44E+00
4.305;6.38E+00
4.315;6.32E+00
4.325;6.26E+00
4.335;6.21E+00
4.345;6.14E+00
4.355;6.09E+00
4.365;6.03E+00
4.375;5.97E+00
4.385;5.91E+00
4.395;5.87E+00
4.405;5.80E+00
4.415;5.76E+00
4.425;5.70E+00
4.435;5.64E+00
4.445;5.59E+00
4.455;5.54E+00
4.465;5.49E+00
4.475;5.44E+00
4.485;5.40E+00
4.495;5.34E+00
4.505;5.29E+00
4.515;5.25E+00
4.525;5.19E+00
4.535;5.15E+00
4.545;5.10E+00
4.555;5.06E+00
4.565;5.01E+00
4.575;4.96E+00
4.585;4.93E+00
4.595;4.87E+00
4.605;4.83E+00
4.615;4.80E+00
4.625;4.75E+00
4.635;4.70E+00
4.645;4.67E+00
4.655;4.62E+00
4.665;4.58E+00
4.675;4.54E+00
4.685;4.50E+00
4.695;4.46E+00
4.705;4.43E+00
4.715;4.38E+00
4.725;4.34E+00
4.735;4.31E+00
4.745;4.28E+00
4.755;4.24E+00
4.765;4.20E+00
4.775;4.16E+00
4.785;4.13E+00
4.795;4.09E+00
4.805;4.07E+00
4.815;4.02E+00
4.825;3.98E+00
4.835;3.96E+00
4.845;3.93E+00
4.855;3.89E+00
4.865;3.86E+00
4.875;3.83E+00
4.885;3.80E+00
4.895;3.77E+00
4.905;3.75E+00
4.915;3.71E+00
4.925;3.67E+00
4.935;3.64E+00
4.945;3.62E+00
4.955;3.59E+00
4.965;3.55E+00
4.975;3.52E+00
4.985;3.50E+00
4.995;3.47E+00
5.005;3.47E+00
5.015;3.44E+00
5.025;3.40E+00
5.035;3.38E+00
5.045;3.36E+00
5.055;3.33E+00
5.065;3.31E+00
5.075;3.28E+00
5.085;3.26E+00
5.095;3.23E+00
5.105;3.20E+00
5.115;3.18E+00
5.125;3.15E+00
5.135;3.14E+00
5.145;3.12E+00
5.155;3.09E+00
5.165;3.06E+00
5.175;3.03E+00
5.185;3.02E+00
5.195;3.00E+00
5.205;2.98E+00
5.215;2.95E+00
5.225;2.93E+00
5.235;2.90E+00
5.245;2.89E+00
5.255;2.86E+00
5.265;2.84E+00
5.275;2.82E+00
5.285;2.80E+00
5.295;2.79E+00
5.305;2.77E+00
5.315;2.74E+00
5.325;2.72E+00
5.335;2.70E+00
5.345;2.68E+00
5.355;2.67E+00
5.365;2.65E+00
5.375;2.63E+00
5.385;2.61E+00
5.395;2.59E+00
5.405;2.56E+00
5.415;2.55E+00
5.425;2.53E+00
5.435;2.51E+00
5.445;2.50E+00
5.455;2.48E+00
5.465;2.46E+00
5.475;2.44E+00
5.485;2.43E+00
5.495;2.41E+00
5.505;2.39E+00
5.515;2.37E+00
5.525;2.35E+00
5.535;2.34E+00
5.545;2.32E+00
5.555;2.31E+00
5.565;2.30E+00
5.575;2.28E+00
5.585;2.27E+00
5.595;2.24E+00
5.605;2.22E+00
5.615;2.21E+00
5.625;2.19E+00
5.635;2.19E+00
5.645;2.17E+00
5.655;2.16E+00
5.665;2.14E+00
5.675;2.13E+00
5.685;2.11E+00
5.695;2.10E+00
5.705;2.07E+00
5.715;2.07E+00
5.725;2.05E+00
5.735;2.04E+00
5.745;2.02E+00
5.755;2.01E+00
5.765;2.00E+00
5.775;1.98E+00
5.785;1.97E+00
5.795;1.96E+00
5.805;1.95E+00
5.815;1.94E+00
5.825;1.93E+00
5.835;1.90E+00
5.845;1.89E+00
5.855;1.88E+00
5.865;1.86E+00
5.875;1.85E+00
5.885;1.84E+00
5.895;1.84E+00
5.905;1.82E+00
5.915;1.81E+00
5.925;1.80E+00
5.935;1.79E+00
5.945;1.78E+00
5.955;1.76E+00
5.965;1.75E+00
5.975;1.73E+00
5.985;1.72E+00
5.995;1.71E+00
6.005;1.71E+00
6.015;1.69E+00
6.025;1.68E+00
6.035;1.67E+00
6.045;1.66E+00
6.055;1.65E+00
6.065;1.64E+00
6.075;1.63E+00
6.085;1.62E+00
6.095;1.61E+00
6.105;1.60E+00
6.115;1.60E+00
6.125;1.59E+00
6.135;1.58E+00
6.145;1.56E+00
6.155;1.55E+00
6.165;1.54E+00
6.175;1.53E+00
6.185;1.52E+00
6.195;1.51E+00
6.205;1.50E+00
6.215;1.49E+00
6.225;1.48E+00
6.235;1.48E+00
6.245;1.47E+00
6.255;1.46E+00
6.265;1.45E+00
6.275;1.44E+00
6.285;1.43E+00
6.295;1.42E+00
6.305;1.41E+00
6.315;1.41E+00
6.325;1.39E+00
6.335;1.38E+00
6.345;1.37E+00
6.355;1.36E+00
6.365;1.36E+00
6.375;1.35E+00
6.385;1.34E+00
6.395;1.34E+00
6.405;1.33E+00
6.415;1.32E+00
6.425;1.31E+00
6.435;1.30E+00
6.445;1.30E+00
6.455;1.29E+00
6.465;1.28E+00
6.475;1.27E+00
6.485;1.26E+00
6.495;1.26E+00
6.505;1.25E+00
6.515;1.25E+00
6.525;1.24E+00
6.535;1.24E+00
6.545;1.22E+00
6.555;1.21E+00
6.565;1.20E+00
6.575;1.20E+00
6.585;1.19E+00
6.595;1.18E+00
6.605;1.17E+00
6.615;1.17E+00
6.625;1.16E+00
6.635;1.15E+00
6.645;1.15E+00
6.655;1.14E+00
6.665;1.13E+00
6.675;1.13E+00
6.685;1.12E+00
6.695;1.12E+00
6.705;1.12E+00
6.715;1.11E+00
6.725;1.10E+00
6.735;1.10E+00
6.745;1.09E+00
6.755;1.08E+00
6.765;1.08E+00
6.775;1.07E+00
6.785;1.06E+00
6.795;1.06E+00
6.805;1.04E+00
6.815;1.04E+00
6.825;1.03E+00
6.835;1.02E+00
6.845;1.02E+00
6.855;1.01E+00
6.865;1.01E+00
6.875;9.99E-01
6.885;9.99E-01
6.895;9.99E-01
6.905;9.89E-01
6.915;9.89E-01
6.925;9.79E-01
6.935;9.79E-01
6.945;9.69E-01
6.955;9.59E-01
6.965;9.59E-01
6.975;9.49E-01
6.985;9.49E-01
6.995;9.39E-01
7.005;9.39E-01
7.015;9.29E-01
7.025;9.29E-01
7.035;9.19E-01
7.045;9.19E-01
7.055;9.09E-01
7.065;9.09E-01
7.075;8.99E-01
7.085;8.99E-01
7.095;8.89E-01
7.105;8.89E-01
7.115;8.89E-01
7.125;8.89E-01
7.135;8.79E-01
7.145;8.69E-01
7.155;8.59E-01
7.165;8.59E-01
7.175;8.49E-01
7.185;8.49E-01
7.195;8.39E-01
7.205;8.39E-01
7.215;8.29E-01
7.225;8.29E-01
7.235;8.19E-01
7.245;8.19E-01
7.255;8.09E-01
7.265;8.09E-01
7.275;8.09E-01
7.285;7.99E-01
7.295;7.99E-01
7.305;7.89E-01
7.315;7.89E-01
7.325;7.79E-01
7.335;7.79E-01
7.345;7.69E-01
7.355;7.69E-01
7.365;7.69E-01
7.375;7.69E-01
7.385;7.69E-01
7.395;7.59E-01
7.405;7.59E-01
7.415;7.59E-01
7.425;7.49E-01
7.435;7.49E-01
7.445;7.39E-01
7.455;7.39E-01
7.465;7.39E-01
7.475;7.29E-01
7.485;7.29E-01
7.495;7.19E-01
7.505;7.19E-01
7.515;7.19E-01
7.525;7.09E-01
7.535;7.09E-01
7.545;7.09E-01
7.555;6.89E-01
7.565;6.89E-01
7.575;6.79E-01
7.585;6.79E-01
7.595;6.79E-01
7.605;6.69E-01
7.615;6.69E-01
7.625;6.69E-01
7.635;6.59E-01
7.645;6.59E-01
7.655;6.59E-01
7.665;6.49E-01
7.675;6.49E-01
7.685;6.49E-01
7.695;6.49E-01
7.705;6.49E-01
7.715;6.49E-01
7.725;6.39E-01
7.735;6.39E-01
7.745;6.39E-01
7.755;6.29E-01
7.765;6.29E-01
7.775;6.29E-01
7.785;6.19E-01
7.795;6.19E-01
7.805;6.19E-01
7.815;6.09E-01
7.825;6.09E-01
7.835;6.09E-01
7.845;5.99E-01
7.855;5.99E-01
7.865;5.99E-01
7.875;5.89E-01
7.885;5.89E-01
7.895;5.89E-01
7.905;5.89E-01
7.915;5.79E-01
7.925;5.79E-01
7.935;5.79E-01
7.945;5.69E-01
7.955;5.69E-01
7.965;5.69E-01
7.975;5.69E-01
7.985;5.59E-01
7.995;5.59E-01
8.005;5.59E-01
8.015;5.49E-01
8.025;5.49E-01
8.035;5.49E-01
8.045;5.49E-01
8.055;5.39E-01
8.065;5.39E-01
8.075;5.39E-01
8.085;5.39E-01
8.095;5.29E-01
8.105;5.29E-01
8.115;5.29E-01
8.125;5.29E-01
8.135;5.29E-01
8.145;5.29E-01
8.155;5.29E-01
8.165;5.19E-01
8.175;5.19E-01
8.185;5.19E-01
8.195;5.09E-01
8.205;4.99E-01
8.215;4.99E-01
8.225;4.99E-01
8.235;4.99E-01
8.245;4.89E-01
8.255;4.89E-01
8.265;4.89E-01
8.275;4.89E-01
8.285;4.79E-01
8.295;4.79E-01
8.305;4.79E-01
8.315;4.79E-01
8.325;4.79E-01
8.335;4.69E-01
8.345;4.69E-01
8.355;4.69E-01
8.365;4.69E-01
8.375;4.59E-01
8.385;4.59E-01
8.395;4.59E-01
8.405;4.59E-01
8.415;4.59E-01
8.425;4.49E-01
8.435;4.49E-01
8.445;4.49E-01
8.455;4.49E-01
8.465;4.39E-01
8.475;4.39E-01
8.485;4.39E-01
8.495;4.39E-01
8.505;4.39E-01
8.515;4.29E-01
8.525;4.29E-01
8.535;4.29E-01
8.545;4.29E-01
8.555;4.29E-01
8.565;4.19E-01
8.575;4.19E-01
8.585;4.19E-01
8.595;4.19E-01
8.605;4.19E-01
8.615;4.09E-01
8.625;4.09E-01
8.635;4.09E-01
8.645;4.09E-01
8.655;4.09E-01
8.665;4.09E-01
8.675;4.09E-01
8.685;4.09E-01
8.695;4.09E-01
8.705;4.09E-01
8.715;4.09E-01
8.725;3.99E-01
8.735;3.99E-01
8.745;3.99E-01
8.755;3.99E-01
8.765;3.99E-01
8.775;3.90E-01
8.785;3.90E-01
8.795;3.90E-01
8.805;3.90E-01
8.815;3.90E-01
8.825;3.90E-01
8.835;3.80E-01
8.845;3.80E-01
8.855;3.80E-01
8.865;3.80E-01
8.875;3.80E-01
8.885;3.80E-01
8.895;3.70E-01
8.905;3.70E-01
8.915;3.70E-01
8.925;3.70E-01
8.935;3.70E-01
8.945;3.70E-01
8.955;3.60E-01
8.965;3.60E-01
8.975;3.60E-01
8.985;3.60E-01
8.995;3.60E-01
9.005;3.60E-01
9.015;3.50E-01
9.025;3.50E-01
9.035;3.50E-01
9.045;3.50E-01
9.055;3.50E-01
9.065;3.50E-01
9.075;3.40E-01
9.085;3.40E-01
9.095;3.40E-01
9.105;3.40E-01
9.115;3.40E-01
9.125;3.40E-01
9.135;3.40E-01
9.145;3.20E-01
9.155;3.20E-01
9.165;3.20E-01
9.175;3.20E-01
9.185;3.20E-01
9.195;3.20E-01
9.205;3.20E-01
9.215;3.10E-01
9.225;3.10E-01
9.235;3.10E-01
9.245;3.10E-01
9.255;3.10E-01
9.265;3.10E-01
9.275;3.10E-01
9.285;3.00E-01
9.295;3.00E-01
9.305;3.00E-01
9.315;3.00E-01
9.325;3.00E-01
9.335;3.00E-01
9.345;3.00E-01
9.355;3.00E-01
9.365;2.90E-01
9.375;2.90E-01
9.385;2.90E-01
9.395;2.90E-01
9.405;2.90E-01
9.415;2.90E-01
9.425;2.90E-01
9.435;2.90E-01
9.445;2.90E-01
9.455;2.90E-01
9.465;2.90E-01
9.475;2.90E-01
9.485;2.90E-01
9.495;2.90E-01
9.505;2.90E-01
9.515;2.90E-01
9.525;2.80E-01
9.535;2.80E-01
9.545;2.80E-01
9.555;2.80E-01
9.565;2.80E-01
9.575;2.80E-01
9.585;2.80E-01
9.595;2.80E-01
9.605;2.70E-01
9.615;2.70E-01
9.625;2.70E-01
9.635;2.70E-01
9.645;2.70E-01
9.655;2.70E-01
9.665;2.70E-01
9.675;2.70E-01
9.685;2.70E-01
9.695;2.60E-01
9.705;2.60E-01
9.715;2.60E-01
9.725;2.60E-01
9.735;2.60E-01
9.745;2.60E-01
9.755;2.60E-01
9.765;2.60E-01
9.775;2.60E-01
9.785;2.60E-01
9.795;2.50E-01
9.805;2.50E-01
9.815;2.50E-01
9.825;2.50E-01
9.835;2.50E-01
9.845;2.50E-01
9.855;2.50E-01
9.865;2.50E-01
9.875;2.50E-01
9.885;2.40E-01
9.895;2.40E-01
9.905;2.40E-01
9.915;2.40E-01
9.925;2.40E-01
9.935;2.40E-01
9.945;2.40E-01
9.955;2.40E-01
9.965;2.40E-01
9.975;2.40E-01
9.985;2.40E-01
9.995;2.30E-01
10.025;2.30E-01
10.075;2.30E-01
10.125;2.20E-01
10.175;2.20E-01
10.225;2.10E-01
10.275;2.10E-01
10.325;2.00E-01
10.375;2.00E-01
10.425;2.00E-01
10.475;1.90E-01
10.525;1.90E-01
10.575;1.90E-01
10.625;1.80E-01
10.675;1.80E-01
10.725;1.80E-01
10.775;1.80E-01
10.825;1.80E-01
10.875;1.70E-01
10.925;1.70E-01
10.975;1.70E-01
11.025;1.60E-01
11.075;1.60E-01
11.125;1.60E-01
11.175;1.60E-01
11.225;1.50E-01
11.275;1.50E-01
11.325;1.50E-01
11.375;1.50E-01
11.425;1.40E-01
11.475;1.40E-01
11.525;1.40E-01
11.575;1.40E-01
11.625;1.20E-01
11.675;1.20E-01
11.725;1.20E-01
11.775;1.20E-01
11.825;1.10E-01
11.875;1.10E-01
11.925;1.10E-01
11.975;1.10E-01
12.025;1.10E-01
12.075;9.99E-02
12.125;9.99E-02
12.175;9.99E-02
12.225;9.99E-02
12.275;9.99E-02
12.325;9.99E-02
12.375;8.99E-02
12.425;8.99E-02
12.475;8.99E-02
12.525;8.99E-02
12.575;8.99E-02
12.625;8.99E-02
12.675;7.99E-02
12.725;7.99E-02
12.775;7.99E-02
12.825;7.99E-02
12.875;7.99E-02
12.925;7.99E-02
12.975;7.99E-02
13.025;6.99E-02
13.075;6.99E-02
13.125;6.99E-02
13.175;6.99E-02
13.225;6.99E-02
13.275;6.99E-02
13.325;6.99E-02
13.375;6.99E-02
13.425;5.99E-02
13.475;5.99E-02
13.525;5.99E-02
13.575;5.99E-02
13.625;5.99E-02
13.675;5.99E-02
13.725;5.99E-02
13.775;5.99E-02
13.825;5.99E-02
13.875;5.99E-02
13.925;5.99E-02
13.975;5.99E-02
14.025;5.99E-02
14.075;5.99E-02
14.125;5.99E-02
14.175;5.99E-02
14.225;5.99E-02
14.275;5.99E-02
14.325;5.99E-02
14.375;5.99E-02
14.425;5.99E-02
14.475;4.99E-02
14.525;4.99E-02
14.575;4.99E-02
14.625;4.99E-02
14.675;4.99E-02
14.725;4.99E-02
14.775;4.99E-02
14.825;4.99E-02
14.875;4.99E-02
14.925;4.99E-02
14.975;4.99E-02
15.025;4.99E-02
15.075;4.99E-02
15.125;4.99E-02
15.175;4.99E-02
15.225;3.99E-02
15.275;3.99E-02
15.325;3.99E-02
15.375;3.99E-02
15.425;3.99E-02
15.475;3.99E-02
15.525;3.99E-02
15.575;3.99E-02
15.625;3.99E-02
15.675;3.99E-02
15.725;3.99E-02
15.775;3.99E-02
15.825;3.99E-02
15.875;3.99E-02
15.925;3.99E-02
15.975;3.99E-02
16.025;3.99E-02
16.075;3.99E-02
16.125;3.99E-02
16.175;3.99E-02
16.225;3.00E-02
16.275;3.00E-02
16.325;3.00E-02
16.375;3.00E-02
16.425;3.00E-02
16.475;3.00E-02
16.525;3.00E-02
16.575;3.00E-02
16.625;3.00E-02
16.675;3.00E-02
16.725;3.00E-02
16.775;3.00E-02
16.825;3.00E-02
16.875;3.00E-02
16.925;3.00E-02
16.975;3.00E-02
17.025;3.00E-02
17.075;3.00E-02
17.125;3.00E-02
17.175;3.00E-02
17.225;3.00E-02
17.275;3.00E-02
17.325;3.00E-02
17.375;3.00E-02
17.425;3.00E-02
17.475;3.00E-02
17.525;3.00E-02
17.575;3.00E-02
17.625;2.00E-02
17.675;2.00E-02
17.725;2.00E-02
17.775;2.00E-02
17.825;2.00E-02
17.875;2.00E-02
17.925;2.00E-02
17.975;2.00E-02
18.025;2.00E-02
18.075;2.00E-02
18.125;2.00E-02
18.175;2.00E-02
18.225;2.00E-02
18.275;2.00E-02
18.325;2.00E-02
18.375;2.00E-02
18.425;2.00E-02
18.475;2.00E-02
18.525;2.00E-02
18.575;2.00E-02
18.625;2.00E-02
18.675;2.00E-02
18.725;2.00E-02
18.775;2.00E-02
18.825;2.00E-02
18.875;2.00E-02
18.925;2.00E-02
18.975;2.00E-02
19.025;2.00E-02
19.075;2.00E-02
19.125;2.00E-02
19.175;2.00E-02
19.225;2.00E-02
19.275;2.00E-02
19.325;2.00E-02
19.375;2.00E-02
19.425;2.00E-02
19.475;2.00E-02
19.525;2.00E-02
19.575;2.00E-02
19.625;2.00E-02
19.675;2.00E-02
19.725;2.00E-02
19.775;2.00E-02
19.825;2.00E-02
19.875;2.00E-02
19.925;2.00E-02
19.975;9.99E-03
20.025;9.99E-03
22;9.37E-03
24;6.61E-03
26;4.80E-03
28;3.58E-03
30;2.72E-03
32;2.10E-03
35;1.47E-03
40;8.60E-04
45;5.39E-04
50;3.54E-04
55;2.42E-04
60;1.71E-04
65;1.25E-04
70;9.25E-05
75;7.05E-05
80;5.45E-05
85;4.28E-05
90;3.41E-05
95;2.75E-05
100;2.24E-05

