   DataRelease = 1.0
   89    0.01
   0.4140   0.0000   0.0921
   0.4240   0.0635   0.0792
   0.4340   0.1270   0.0748
   0.4440   0.1904   0.0811
   0.4540   0.2557   0.0965
   0.4640   0.3246   0.1156
   0.4740   0.3934   0.1343
   0.4840   0.4533   0.1496
   0.4940   0.5099   0.1640
   0.5040   0.5576   0.1721
   0.5140   0.6042   0.1796
   0.5240   0.6412   0.1800
   0.5340   0.6783   0.1811
   0.5440   0.7131   0.1792
   0.5540   0.7443   0.1731
   0.5640   0.7756   0.1674
   0.5740   0.8059   0.1606
   0.5840   0.8324   0.1515
   0.5940   0.8588   0.1425
   0.6040   0.8833   0.1347
   0.6140   0.9045   0.1284
   0.6240   0.9234   0.1202
   0.6340   0.9424   0.1121
   0.6440   0.9614   0.1036
   0.6540   0.9754   0.0912
   0.6640   0.9819   0.0739
   0.6740   0.9884   0.0570
   0.6840   0.9949   0.0401
   0.6940   1.0000   0.0238
   0.7040   0.9923   0.0189
   0.7140   0.9845   0.0133
   0.7240   0.9768   0.0096
   0.7340   0.9691   0.0100
   0.7440   0.9614   0.0148
   0.7540   0.9516   0.0205
   0.7640   0.9389   0.0242
   0.7740   0.9262   0.0274
   0.7840   0.9134   0.0307
   0.7940   0.9007   0.0349
   0.8040   0.8837   0.0342
   0.8140   0.8668   0.0326
   0.8240   0.8498   0.0310
   0.8340   0.8328   0.0295
   0.8440   0.8159   0.0279
   0.8540   0.7993   0.0248
   0.8640   0.7856   0.0176
   0.8740   0.7720   0.0142
   0.8840   0.7584   0.0158
   0.8940   0.7447   0.0215
   0.9040   0.7300   0.0301
   0.9140   0.7136   0.0409
   0.9240   0.6948   0.0524
   0.9340   0.6662   0.0588
   0.9440   0.6376   0.0628
   0.9540   0.6090   0.0687
   0.9640   0.5724   0.0722
   0.9740   0.5324   0.0724
   0.9840   0.4920   0.0721
   0.9940   0.4503   0.0717
   1.0040   0.4086   0.0698
   1.0140   0.3707   0.0712
   1.0240   0.3336   0.0744
   1.0340   0.2973   0.0767
   1.0440   0.2679   0.0846
   1.0540   0.2314   0.0835
   1.0640   0.1901   0.0743
   1.0740   0.1488   0.0650
   1.0840   0.1074   0.0572
   1.0940   0.0661   0.0515
   1.1040   0.0248   0.0383
   1.1140   0.0101   0.0289
   1.1240   0.0022   0.0284
   1.1340   0.0002   0.0292
   1.1440   0.0000   0.0305
   1.1540   0.0000   0.0317
   1.1640   0.0000   0.0330
   1.1740   0.0000   0.0343
   1.1840   0.0000   0.0355
   1.1940   0.0000   0.0368
   1.2040   0.0000   0.0381
   1.2140   0.0000   0.0393
   1.2240   0.0000   0.0406
   1.2340   0.0000   0.0419
   1.2440   0.0000   0.0431
   1.2540   0.0000   0.0444
   1.2640   0.0000   0.0457
   1.2740   0.0000   0.0470
   1.2840   0.0000   0.0482
   1.2940   0.0000   0.0495
