   DataRelease = 1.0
   37    0.025
   0.3750   0.0000   0.1531
   0.4000   0.0530   0.0929
   0.4250   0.0970   0.0374
   0.4500   0.1360   0.0601
   0.4750   0.1920   0.1223
   0.5000   0.2550   0.1669
   0.5250   0.3390   0.1800
   0.5500   0.4280   0.1809
   0.5750   0.5420   0.1626
   0.6000   0.6440   0.1394
   0.6250   0.7190   0.1240
   0.6500   0.8080   0.1034
   0.6750   0.8920   0.0677
   0.7000   0.9900   0.0229
   0.7250   1.0000   0.0143
   0.7500   0.9870   0.0172
   0.7750   0.9650   0.0244
   0.8000   0.9560   0.0380
   0.8250   0.9000   0.0365
   0.8500   0.8470   0.0327
   0.8750   0.7790   0.0294
   0.9000   0.7030   0.0396
   0.9250   0.6120   0.0597
   0.9500   0.5200   0.0691
   0.9750   0.4250   0.0713
   1.0000   0.3300   0.0698
   1.0250   0.2200   0.0789
   1.0500   0.1100   0.0882
   1.0750   0.0580   0.0590
   1.1000   0.0050   0.0358
   1.1250   0.0014   0.0600
   1.1500   0.0001   0.0486
   1.1750   0.0000   0.0432
   1.2000   0.0000   0.0425
   1.2250   0.0000   0.0442
   1.2500   0.0000   0.0469
   1.2750   0.0000   0.0501
